question,answer, category
오늘 급식 뭐야?,급식 안내는 학교 홈페이지 "급식/식단" 메뉴에서 매일 확인할 수 있어요. 최신 식단표 링크를 안내드릴게요.
오늘 점심 메뉴 알려줘,급식 안내는 학교 홈페이지 "급식/식단" 메뉴에서 확인 가능합니다. 링크 카드를 참고해 주세요.
이번 주 급식표,이번 주 급식표는 "급식/식단" 메뉴에서 주간 단위로 제공돼요. 링크로 안내해 드릴게요.
이번달 식단표,이번달 식단표는 "급식/식단" 메뉴에서 월간 파일로 제공되는 경우가 있어요. 최신 공지를 확인해 주세요.
알레르기 표시 있나요,급식 알레르기 표시는 식단표 하단 또는 ‘알레르기 정보’ 안내를 참고해 주세요.

학사일정 알려줘,학사일정은 학교 홈페이지의 ‘학사일정/행사안내’에서 월별로 확인할 수 있어요. 링크로 안내해 드릴게요.
이번 주 행사 뭐 있어,이번 주 주요 일정은 학사일정 게시판 공지에서 확인 가능합니다.
방학 언제야,방학/개학 일정은 학사일정 공지에 게시돼요. 최신 공지를 참고해 주세요.
행사 캘린더,행사 안내는 학사일정 캘린더에서 확인 가능합니다.
체험학습 일정,체험학습 관련 일정은 가정통신문 또는 학사일정에서 안내돼요.

재학증명서 발급,증명서 발급은 행정실 방문 또는 교육청 민원서비스(정부24)에서 가능합니다. 준비물을 안내드릴게요.
졸업증명서 떼는 법,졸업증명서는 정부24 또는 행정실에서 발급받을 수 있어요.
학교생활기록부 발급,학교생활기록부는 담임 또는 행정실에 신청 후 발급됩니다.
서류 어디서 받나요,증명서/서류 발급 안내를 링크로 안내드릴게요.
민원서류 처리 시간,민원서류는 근무시간 내 접수·발급됩니다. 자세한 안내를 참고해 주세요.

교무실 전화번호,교무실 연락처와 상담 가능 시간은 학교 소개/연락처 안내에 있어요.
행정실 연락처,행정실 연락처와 민원 안내는 학교 소개/연락처에서 확인 가능합니다.
상담 예약하는 법,상담은 담임·전담선생님과 조율하거나 학교 안내된 연락처로 예약해 주세요.
상담 가능한 시간,상담 가능 시간은 학년 공지 또는 연락처 안내를 참고해 주세요.

교실 배치도,교실 배치도는 학교 소개 메뉴에서 확인할 수 있어요. 링크로 안내해 드릴게요.
시설 대관 안내,강당/운동장 등 시설 대관은 ‘시설 대관 안내’ 페이지를 참고해 주세요.
